player_id   email_address                                                                                                                                                                                                                                                    credit_card_type          credit_card_number
----------- ---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- ------------------------- -------------------------
1           eshakshaft0@gnu.org                                                                                                                                                                                                                                              americanexpress           337941554584291
2           dthirlwell1@chicagotribune.com                                                                                                                                                                                                                                   americanexpress           337941328883896
3           pcastelin2@hugedomains.com                                                                                                                                                                                                                                       mastercard                5421081414469189
4           avernalls3@over-blog.com                                                                                                                                                                                                                                         americanexpress           374288492547988
5           astarie4@unicef.org                                                                                                                                                                                                                                              americanexpress           371378906222915
6           astrathdee5@unicef.org                                                                                                                                                                                                                                           visa                      4041374722603596
7           jkapelhoff6@state.tx.us                                                                                                                                                                                                                                          americanexpress           374622341740636
8           jfroome7@bbb.org                                                                                                                                                                                                                                                 americanexpress           337941293657507
9           rhelleckas8@odnoklassniki.ru                                                                                                                                                                                                                                     americanexpress           371893403103525
10          eheasley9@prnewswire.com                                                                                                                                                                                                                                         mastercard                5100147217944815
11          tbuttfielda@blogger.com                                                                                                                                                                                                                                          mastercard                5494966055460095
12          hlombardb@freewebs.com                                                                                                                                                                                                                                           americanexpress           374283882025687
13          vpritchardc@sourceforge.net                                                                                                                                                                                                                                      mastercard                5007663141623808
14          echattelld@slate.com                                                                                                                                                                                                                                             visa                      4017954481740802
15          tmanicombe@sciencedaily.com                                                                                                                                                                                                                                      americanexpress           374288679693746
16          tingonf@ask.com                                                                                                                                                                                                                                                  mastercard                5240802823376650
17          kgambieg@usa.gov                                                                                                                                                                                                                                                 americanexpress           337941583659213
18          rbarenseh@xing.com                                                                                                                                                                                                                                               mastercard                5002359123584366
19          jbinchi@ucla.edu                                                                                                                                                                                                                                                 americanexpress           374283746749639
20          cdudillj@hatena.ne.jp                                                                                                                                                                                                                                            americanexpress           337941748994166
21          lworthingk@csmonitor.com                                                                                                                                                                                                                                         mastercard                5010128415901962
22          ralastairl@myspace.com                                                                                                                                                                                                                                           americanexpress           371540385124702
23          awillimontm@devhub.com                                                                                                                                                                                                                                           mastercard                5002352799964806
24          ddanihelkan@uiuc.edu                                                                                                                                                                                                                                             visa                      4041370458616919
25          gdebernardiso@yelp.com                                                                                                                                                                                                                                           mastercard                5108755097299902
26          wjoryp@technorati.com                                                                                                                                                                                                                                            americanexpress           346165646311575
27          arickersyq@jiathis.com                                                                                                                                                                                                                                           americanexpress           372301659181665
28          lbatchr@nih.gov                                                                                                                                                                                                                                                  mastercard                5100179053749347
29          abuckells@google.co.jp                                                                                                                                                                                                                                           mastercard                5108759661587429
30          vtidmant@taobao.com                                                                                                                                                                                                                                              americanexpress           372301939086445
31          vhickissonu@alibaba.com                                                                                                                                                                                                                                          mastercard                5564065187605126
32          acremenv@nih.gov                                                                                                                                                                                                                                                 americanexpress           345657738161281
33          okinnerleyw@wikia.com                                                                                                                                                                                                                                            americanexpress           374622511194481
34          cginmanx@shop-pro.jp                                                                                                                                                                                                                                             americanexpress           372301023294467
35          gaprahamiany@npr.org                                                                                                                                                                                                                                             mastercard                5002353817410392
36          bsilversonz@bing.com                                                                                                                                                                                                                                             americanexpress           374622440265329
37          rcoulthard10@domainmarket.com                                                                                                                                                                                                                                    americanexpress           374622057122540
38          aseyers11@naver.com                                                                                                                                                                                                                                              mastercard                5007667282794468
39          respinoy12@goodreads.com                                                                                                                                                                                                                                         americanexpress           374622558113436
40          tgeri13@google.fr                                                                                                                                                                                                                                                americanexpress           374622105238918
41          kgladwin14@umich.edu                                                                                                                                                                                                                                             americanexpress           374283823483466
